SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
,,HAULER,Notice Of Non-Compliance,9/8/20,,0,WASTE BAN VIOLATION WHEELABRATOR SAUGUS 18-JUN-2020 CARDBOARD OCC
,,HAULER,Notice Of Non-Compliance,2/26/19,,0,WASTE BAN VIOLATION OBSERVED AT NORTHAMPTON EASTHAMPTON ROAD TRANSFER STATION (VALLEY RECYCLING) LOCATED AT 234 EASTHAMPTON ROAD IN NORTHAMPTON. LOADS INCLUDED RECYCLABLE PAPER (CARDBOARD) FROM SEVERAL CUSTOMERS IN EASTHAMPTON.
,,GEN-SW,Notice Of Non-Compliance,8/17/20,,0,WASTE BAN VIOLATION 6/24/2020 CARDBOARD
,,GEN-SW,"Administrative Consent Order, With Penalty",8/13/20,,6860,WASTE BAN VIOLATIONS FROM PULTIPLE FACILITIES AND DATES
,,GEN-SW,Notice Of Non-Compliance,8/4/20,,0,WASTE BAN VIOLATION OBSERVED ON 6/16/2020 AT K&W TRANSFER STATION LOCATED AT 138 PALMER AVENUE IN WEST SPRINGFIELD.
,,GEN-SW,Notice Of Non-Compliance,8/4/20,,0,"WASTE BAN VIOLATION OBSERVED ON 6/18/2020 AT VALLEY RECYCLING TRANSFER STATION, 234 EASTHAMPTON ROAD IN NORTHAMPTON."
,,GEN-SW,Notice Of Non-Compliance,8/4/20,,0,"WASTE BAN VIOLATION OBSERVED ON 7/2/2020 AT WESTERN RECYCLING TRANSFER STATION, 120 OLD BOSTON ROAD IN WILBRAHAM."
,,GEN-SW,Notice Of Non-Compliance,7/7/20,,0,CARDBORAD AND PAPER AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,7/7/20,,0,"CARDBOARD AND PAPER AT RAYNHAM TS, LOAD ORIGINATED FROM GROVE ST FRANKLIN, MA"
,,HAULER,Notice Of Non-Compliance,10/31/19,,0,"WASTE BAN VIOLATION FOR DISPOSING OF CARDBOARD. CARDOBARD LEFT IN CONTAINER BEFORE IT WAS PLACED AT CUSTOMER YARD. EMPTIED AT FALL RIVER TS, CONTAINING CARDBOARD."
,,HAULER,Notice Of Non-Compliance,2/7/19,,0,WASTE BAN VIOLATION FOR DISPOSAL OF WOOD AT CRAPO HILL LANDFILL
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT POST RD TRANSFER STATION. CARDBOARD
